源文件,工作表,行号,字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19
2026年门店统采报价单.xlsx,标段2,1,报价单,,,,,,,,,,,,,,,,,,
2026年门店统采报价单.xlsx,标段2,2,项目名称：2026全年度 老百姓大药房全国门店办公纸类&办公用品&硒鼓&低值易耗&日用品&小电器产品采购项目,,,,,,,,,,,,,,,,,,
2026年门店统采报价单.xlsx,标段2,3,"说明：请填写报价单标黄部分,标段2预算339万元",,,,,,,,,,,,,,,,,,
2026年门店统采报价单.xlsx,标段2,4,报价单位（章）：,,,,,,,,,,,,,,,,,,
2026年门店统采报价单.xlsx,标段2,5,报价时间：,,,,,,,,,,,,,,,,,,
2026年门店统采报价单.xlsx,标段2,6,备注：本报价为含税价，税率为 %，开具增值税 （填写专用或者普通）发票。,,,,,,,,,,,,,,,,,,
2026年门店统采报价单.xlsx,标段2,7,标段,品类,序号,商品名称,是否送样,商品编码,年度采购量,厂家/品牌,规格,单位,配送方式,备注,单价,小计,报价厂家/品牌,报价规格,投标方备注,,
2026年门店统采报价单.xlsx,标段2,8,标段2,办公用品,10,有线鼠标,否,9500301028,650,罗技,灰黑色M90,个,供应商发湖南丰沃达,,,,罗技,灰黑色M90,,,
2026年门店统采报价单.xlsx,标段2,9,标段2,办公用品,11,无线鼠标,否,9500301029,274,罗技,灰黑色M185,个,供应商发湖南丰沃达,,,,罗技,灰黑色M185,,,
2026年门店统采报价单.xlsx,标段2,10,标段2,办公用品,12,鼠标垫,否,212345,200,得力/晨光,黑色 耐磨250mm*200mm,个,供应商发湖南丰沃达,,,,得力/晨光,黑色 耐磨250mm*200mm,,,
2026年门店统采报价单.xlsx,标段2,11,标段2,办公用品,13,键盘,否,9500301030,675,罗技,USB接口/黑色/K120,个,供应商发湖南丰沃达,,,,罗技,USB接口/黑色/K120,,,
2026年门店统采报价单.xlsx,标段2,12,标段2,办公用品,14,回形针,否,9500301031,14166,得力/晨光,得力0018,盒,供应商发湖南丰沃达,,,,得力/晨光,得力0018,,,
2026年门店统采报价单.xlsx,标段2,13,标段2,办公用品,15,原子印油,否,9500301033,571,得力/晨光,40ML快干印油,瓶,供应商发湖南丰沃达,,,,得力/晨光,40ML快干印油,,,
2026年门店统采报价单.xlsx,标段2,14,标段2,办公用品,16,光敏印油,否,9500301034,632,得力/晨光,10ML光敏印油,瓶,供应商发湖南丰沃达,,,,得力/晨光,10ML光敏印油,,,
