adcode,name,label,spell,longitude,latitude,level,province_code,province,official_market,occurrences,path,paths
100000,全国,全国,,116.3683244,39.915085,province,10,,False,1,$.data.cityData.hotCitys[0],$.data.cityData.hotCitys[0]
110000,北京,北京市,BeiJingShi,116.407387,39.904179,province,11,北京,False,2,$.data.cityData.hotCitys[1],$.data.cityData.hotCitys[1] | $.data.cityData.provinces.110000
120000,天津,天津市,TianJinShi,117.201509,39.085318,province,12,天津,True,2,$.data.cityData.hotCitys[2],$.data.cityData.hotCitys[2] | $.data.cityData.provinces.120000
130000,河北,河北省,HeBeiSheng,114.530399,38.037707,province,13,,False,1,$.data.cityData.provinces.130000,$.data.cityData.provinces.130000
130100,石家庄,石家庄市,ShiJiaZhuangShi,114.514976,38.042007,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[0],$.data.cityData.provinces.130000.cities[0]
130200,唐山,唐山市,TangShanShi,118.180149,39.63068,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[1],$.data.cityData.provinces.130000.cities[1]
130300,秦皇岛,秦皇岛市,QinHuangDaoShi,119.52022,39.888243,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[2],$.data.cityData.provinces.130000.cities[2]
130400,邯郸,邯郸市,HanDanShi,114.53915,36.625849,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[3],$.data.cityData.provinces.130000.cities[3]
130500,邢台,邢台市,XingTaiShi,114.49742,37.060227,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[4],$.data.cityData.provinces.130000.cities[4]
130600,保定,保定市,BaoDingShi,115.464523,38.874476,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[5],$.data.cityData.provinces.130000.cities[5]
130700,张家口,张家口市,ZhangJiaKouShi,114.885895,40.768931,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[6],$.data.cityData.provinces.130000.cities[6]
130800,承德,承德市,ChengDeShi,117.962749,40.952942,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[7],$.data.cityData.provinces.130000.cities[7]
130900,沧州,沧州市,CangZhouShi,116.838715,38.304676,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[8],$.data.cityData.provinces.130000.cities[8]
131000,廊坊,廊坊市,LangFangShi,116.683546,39.538304,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[9],$.data.cityData.provinces.130000.cities[9]
131100,衡水,衡水市,HengShuiShi,115.668987,37.739367,prefecture,13,,False,1,$.data.cityData.provinces.130000.cities[10],$.data.cityData.provinces.130000.cities[10]
140000,山西,山西省,ShanXiSheng,112.578781,37.813948,province,14,山西,True,1,$.data.cityData.provinces.140000,$.data.cityData.provinces.140000
140100,太原,太原市,TaiYuanShi,112.549656,37.870451,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[0],$.data.cityData.provinces.140000.cities[0]
140200,大同,大同市,DaTongShi,113.366749,40.09711,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[1],$.data.cityData.provinces.140000.cities[1]
140300,阳泉,阳泉市,YangQuanShi,113.580426,37.857094,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[2],$.data.cityData.provinces.140000.cities[2]
140400,长治,长治市,ChangZhiShi,113.117394,36.195142,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[3],$.data.cityData.provinces.140000.cities[3]
140500,晋城,晋城市,JinChengShi,112.852022,35.491315,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[4],$.data.cityData.provinces.140000.cities[4]
140600,朔州,朔州市,ShuoZhouShi,112.432906,39.331734,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[5],$.data.cityData.provinces.140000.cities[5]
140700,晋中,晋中市,JinZhongShi,112.752633,37.688006,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[6],$.data.cityData.provinces.140000.cities[6]
140800,运城,运城市,YunChengShi,111.007051,35.02667,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[7],$.data.cityData.provinces.140000.cities[7]
140900,忻州,忻州市,XinZhouShi,112.734149,38.415958,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[8],$.data.cityData.provinces.140000.cities[8]
141000,临汾,临汾市,LinFenShi,111.51931,36.088581,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[9],$.data.cityData.provinces.140000.cities[9]
141100,吕梁,吕梁市,LvLiangShi,111.14454,37.518996,prefecture,14,山西,True,1,$.data.cityData.provinces.140000.cities[10],$.data.cityData.provinces.140000.cities[10]
150000,内蒙古,内蒙古自治区,NeiMengGuZiZhiQu,111.765226,40.818233,province,15,内蒙古,True,1,$.data.cityData.provinces.150000,$.data.cityData.provinces.150000
150100,呼和浩特,呼和浩特市,HuHeHaoTeShi,111.748814,40.842127,prefecture,15,内蒙古,True,1,$.data.cityData.provinces.150000.cities[0],$.data.cityData.provinces.150000.cities[0]
150200,包头,包头市,BaoTouShi,109.95315,40.621327,prefecture,15,内蒙古,True,1,$.data.cityData.provinces.150000.cities[1],$.data.cityData.provinces.150000.cities[1]
150300,乌海,乌海市,WuHaiShi,106.79415,39.655048,prefecture,15,内蒙古,True,1,$.data.cityData.provinces.150000.cities[2],$.data.cityData.provinces.150000.cities[2]
150400,赤峰,赤峰市,ChiFengShi,118.887613,42.256876,prefecture,15,内蒙古,True,1,$.data.cityData.provinces.150000.cities[3],$.data.cityData.provinces.150000.cities[3]
150500,通辽,通辽市,TongLiaoShi,122.243309,43.653566,prefecture,15,内蒙古,True,1,$.data.cityData.provinces.150000.cities[4],$.data.cityData.provinces.150000.cities[4]
150600,鄂尔多斯,鄂尔多斯市,EErDuoSiShi,109.782473,39.608744,prefecture,15,内蒙古,True,1,$.data.cityData.provinces.150000.cities[5],$.data.cityData.provinces.150000.cities[5]
150700,呼伦贝尔,呼伦贝尔市,HuLunBeiErShi,119.77845,49.166536,prefecture,15,内蒙古,True,1,$.data.cityData.provinces.150000.cities[6],$.data.cityData.provinces.150000.cities[6]
