city_name,city_slug,city_url
阿坝藏族羌族自治州,aba,http://poi.mapbar.com/aba/
阿克苏地区,akesu,http://poi.mapbar.com/akesu/
阿拉尔市,alaer,http://poi.mapbar.com/alaer/
阿拉善盟,alashanmeng,http://poi.mapbar.com/alashanmeng/
阿勒泰地区,aletai,http://poi.mapbar.com/aletai/
阿里地区,ali,http://poi.mapbar.com/ali/
安康市,ankang,http://poi.mapbar.com/ankang/
安庆市,anqing,http://poi.mapbar.com/anqing/
鞍山市,anshan,http://poi.mapbar.com/anshan/
安顺市,anshun,http://poi.mapbar.com/anshun/
安阳市,anyang,http://poi.mapbar.com/anyang/
白城市,baicheng,http://poi.mapbar.com/baicheng/
百色市,baise,http://poi.mapbar.com/baise/
白沙黎族自治县,baisha,http://poi.mapbar.com/baisha/
白山市,baishan,http://poi.mapbar.com/baishan/
白银市,baiyin,http://poi.mapbar.com/baiyin/
保定市,baoding,http://poi.mapbar.com/baoding/
宝鸡市,baoji,http://poi.mapbar.com/baoji/
保山市,baoshan,http://poi.mapbar.com/baoshan/
保亭黎族苗族自治县,baoting,http://poi.mapbar.com/baoting/
包头市,baotou,http://poi.mapbar.com/baotou/
巴彦淖尔市,bayannaoer,http://poi.mapbar.com/bayannaoer/
巴音郭楞蒙古自治州,bayinguole,http://poi.mapbar.com/bayinguole/
巴中市,bazhong,http://poi.mapbar.com/bazhong/
北海市,beihai,http://poi.mapbar.com/beihai/
北京市,beijing,http://poi.mapbar.com/beijing/
北屯市,beitun,http://poi.mapbar.com/beitun/
蚌埠市,bengbu,http://poi.mapbar.com/bengbu/
本溪市,benxi,http://poi.mapbar.com/benxi/
毕节市,bijie,http://poi.mapbar.com/bijie/
滨州市,binzhou,http://poi.mapbar.com/binzhou/
博尔塔拉蒙古自治州,boertala,http://poi.mapbar.com/boertala/
亳州市,bozhou,http://poi.mapbar.com/bozhou/
沧州市,cangzhou,http://poi.mapbar.com/cangzhou/
长春市,changchun,http://poi.mapbar.com/changchun/
常德市,changde,http://poi.mapbar.com/changde/
昌都市,changdu,http://poi.mapbar.com/changdu/
