city	status	count	max_distance	elapsed	error	store_ids	store_cities
长沙	200	8	1.2	1.642		3540,18126,5657,2542,6147,13745,4783,10767	长沙,长沙市
株洲	200	10	1.5	1.365		7185,2223,6274,7211,6273,7114,16830,7398,6280,6871	株洲市
岳阳	200	7	2.9	1.563		286,5965,461,1661,774,7703,229	岳阳市
北京	200	1	18.1	2.492		20201	
上海	200	10	3.2	1.43		489,5142,645,449,827,346,12347,16555,3562,18564	上海市
天津	200	6	1.6	1.594		6551,15933,5560,4047,15573,14304	天津市
南京	200	10	3.1	1.791		15072,12931,6417,6992,4169,1726,376,20360,13352,6435	,南京市
苏州	200	10	15.5	1.56		19811,19833,19878,4899,5086,4898,4900,5368,5365,5383	,苏州市
杭州	200	10	3.9	1.682		285,1935,1257,1332,1516,514,289,1434,3493,231	杭州市
宁波	200	10	2.7	1.648		7349,2509,290,4793,2024,596,241,1152,1649,3633	宁波,宁波市,杭州市
合肥	200	10	1.9	1.68		5675,6821,682,3494,6214,7584,6204,18383,4005,6514	合肥市,蜀山区
武汉	200	10	2.1	1.603		6901,3519,7619,997,6669,5704,6558,2438,2042,2044	武汉市,湖北
郑州	200	10	2.0	2.357		3503,19586,5074,395,2144,6953,19555,6156,759,2140	,郑州市
济南	200	10	6.0	2.452		1399,14968,1207,16011,6166,3776,1402,2117,7626,6965	济南市
青岛	200	0	None	1.89			
西安	200	10	1.7	1.935		17055,17142,8845,19774,3532,3570,5819,14795,8773,16778	,西安市
兰州	200	10	0.8	2.038		2328,2344,4985,4312,20057,6377,20060,2356,4228,19063	,兰州市,甘肃省
银川	200	10	4.1	1.863		6621,10164,17611,6649,6620,6632,6616,6658,6617,6633	银川市
呼和浩特	200	3	17.5	1.511		15536,15526,15525	呼和浩特市
太原	200	0	None	1.908			
贵阳	200	4	15.9	1.801		19956,19859,20076,19926	
南宁	200	10	1.2	2.026		19390,2471,3775,203,2534,13418,7064,393,2130,7147	,南宁市
广州	200	10	2.6	1.719		66,14189,745,67,414,2409,415,823,1183,17143	广州市
深圳	200	0	None	1.43			
南昌	200	0	None	1.613			
沈阳	200	0	None	1.429			
白城	200	10	0.8	1.913		12483,12384,12478,12472,12385,12492,12465,14643,12467,12481	白城市
成都	200	1	11.3	1.453		5647	成都市
重庆	200	0	None	1.379			
乌鲁木齐	200	0	None	1.686			
拉萨	200	0	None	1.495			
海口	200	0	None	1.628			
昆明	200	0	None	2.979			
三亚	200	0	None	1.426			
漠河	200	0	None	1.633			
东海	200	0	None	1.733			
