name	status	count	max_distance	ids	elapsed	error
base	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	3.452	
size1	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	3.136	
size5	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	3.159	
size20	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.596	
size100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.663	
limit100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.351	
pageSize100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	3.125	
pagesize100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	3.283	
rows100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.861	
page1	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	1.748	
page2	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.565	
pageNum2	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.395	
pagenum2	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.016	
radius1	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.612	
radius5	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.251	
radius20	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.134	
radius100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.416	
Radius100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.145	
distance100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.324	
Distance100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.748	
page2_size100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.675	
pageNum2_pageSize100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.5	
offset10_limit100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.93	
start10_rows100	200	8	1.2	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	2.098	
