file	sheet	max_row	max_col	nonempty_rows	header_row_index	sample	error
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	报价单	11	7	11		老百姓租车报价单 | | | | | | || 报价单位（章）： | | | | | | || 报价时间： | | | | | | || 租车时间：2025年10月25日至28日共4天。 | | | | | | || 老百姓总部地址：长沙市开福区青竹湖路808号。 | | | | | | || 付款方式：租车结束后，收到发票后7日内一次性支付全款。 | | | | | |	
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	19	14	18	8	时间 | 车型 | 预估数量（台） | 起点 | 途径1 | 途径2 | 途径3 | 途径4 | 途径5 | 终点 | 单程距离（KM） | 备注 | 计价方式（单趟/日租） | 费用 || 45955 | 别克商务车（7座） | 1 | 黄花机场T1 | / | / | / | / | / | 老百姓大药房总部 | 39 | | | || 45955 | 别克商务车（7座） | 1 | 长沙南站 | / | / | / | / | / | 老百姓大药房总部 | 30 | | | || 45956 | 中班车（17-23座） | 1 | 黄花机场T1 | / | / | / | / | / | 长沙北城戴斯温德姆酒店 | 40 | | | || 45956 | 中班车（17-23座） | | 长沙北城戴斯温德姆酒店 | / | / | / | / | / | 老百姓大药房总部 | 2 | | | || 45956 | 中班车（17-23座） | 1 | 长沙南站 | / | / | / | / | / | 维也纳国际酒店(长沙湘江北路金霞地铁站店) | 30 | | |	
2026年门店统采报价单.xlsx	标段1	17	17	17		报价单 | | | | | | | | | | | | | | | | || 项目名称：2026全年度 老百姓大药房全国门店办公纸类&办公用品&硒鼓&低值易耗&日用品&小电器产品采购项目 | | | | | | | | | | | | | | | | || 说明：请填写报价单标黄部分,标段1预算278万元 | | | | | | | | | | | | | | | | || 报价单位（章）： | | | | | | | | | | | | | | | | || 报价时间： | | | | | | | | | | | | | | | | || 备注：本报价为含税价，税率为 %，开具增值税 （填写专用或者普通）发票。 | | | | | | | | | | | | | | | |	
2026年门店统采报价单.xlsx	标段2	205	17	205		报价单 | | | | | | | | | | | | | | | | || 项目名称：2026全年度 老百姓大药房全国门店办公纸类&办公用品&硒鼓&低值易耗&日用品&小电器产品采购项目 | | | | | | | | | | | | | | | | || 说明：请填写报价单标黄部分,标段2预算339万元 | | | | | | | | | | | | | | | | || 报价单位（章）： | | | | | | | | | | | | | | | | || 报价时间： | | | | | | | | | | | | | | | | || 备注：本报价为含税价，税率为 %，开具增值税 （填写专用或者普通）发票。 | | | | | | | | | | | | | | | |	
2026年门店统采报价单.xlsx	标段3	35	17	35		报价单 | | | | | | | | | | | | | | | | || 项目名称：2026全年度 老百姓大药房全国门店办公纸类&办公用品&硒鼓&低值易耗&日用品&小电器产品采购项目 | | | | | | | | | | | | | | | | || 说明：请填写报价单标黄部分,标段3预算124万元 | | | | | | | | | | | | | | | | || 报价单位（章）： | | | | | | | | | | | | | | | | || 报价时间： | | | | | | | | | | | | | | | | || 备注：本报价为含税价，税率为 %，开具增值税 （填写专用或者普通）发票。 | | | | | | | | | | | | | | | |	
2026年门店统采报价单.xlsx	标段4	23	17	23		报价单 | | | | | | | | | | | | | | | | || 项目名称：2026全年度 老百姓大药房全国门店办公纸类&办公用品&硒鼓&低值易耗&日用品&小电器产品采购项目 | | | | | | | | | | | | | | | | || 说明：请填写报价单标黄部分,标段4预算74万元 | | | | | | | | | | | | | | | | || 报价单位（章）： | | | | | | | | | | | | | | | | || 报价时间： | | | | | | | | | | | | | | | | || 备注：本报价为含税价，税率为 %，开具增值税 （填写专用或者普通）发票。 | | | | | | | | | | | | | | | |	
RDC及地址.xlsx	Sheet1	28	5	28	7	战区 | 公司 | DC属性 | 省份 | 收货地址 || 安徽战区 | 安徽丰沃达 | RDC | 安徽 | 安徽省合肥市经开区汤口路与玉兰大道交叉口宝元物流1#物流配送中心A栋 || 广西战区 | 广西 | DC | 广西 | 南宁市国凯大道15号广西思蜜缇休闲食品生产加工基地项目1号厂房第一、二、三、四层 || 新中战区 | 河南 | DC | 河南 | 河南省郑州市管城区南曹乡郑州传化公路港 K1，二楼 || | 湖北 | DC | 湖北 | 湖北省武汉市东西湖区惠安大道南768号中原印务1栋 || 天津战区 | 天津 | RDC | 天津 | 天津市东丽区 顺丰丰泰电商产业园 99号丰沃达医药（天津)有限公司	
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx	报价单	28	10	28	8	报价单 | | | | | | | | | || 报价单位：（章） | | | | | | | | | || 报价时间： | | | | | | | | | || 请仔细阅读相关要求后，填写标黄内容 | | | | | | | | | || 项目名称： 2026年4月老百姓集团采购流水式粉碎机48台 | | | | | | | | | || 采购方：湖南药圣堂中药科技有限公司（老百姓集团子公司） | | | | | | | | |	
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx	送货地址	49	4	49	1	序号 | 打粉机主配门店 | 打粉机主配数量（台） | 配送地址 || 1 | 怀仁公司张家界杏林堂店 | 1 | 湖南省张家界市永定区古庸路人民医院对面老百姓大药房 || 2 | 怀仁公司龙山新建路店 | 1 | 湖南省湘西土家族苗族自治州龙山县民安街道新建路48-13号途窝皇庭酒店老百姓大药房(龙山汽车站店) || 3 | 怀仁公司花垣西门口店 | 1 | 湖南省湘西自治州花垣县老百姓大药房西门口店（农贸市场对面） || 4 | 怀仁公司永顺崇胜店 | 1 | 湖南省湘西土家族苗族自治州永顺县灵溪镇府正街府正家园一区105、106门面老百姓大药房 || 5 | 怀仁公司凤凰虹桥路店 | 1 | 湖南省湘西土家族苗族自治州凤凰县沱江镇虹桥西路田芳麻辣烫隔壁老百姓大药房	
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx	老百姓大药房切片机、打粉机采购项目	33	13	32		报价单 | | | | | | | | | | | | || 项目名称：老百姓大药房切片机、打粉机采购项目 | | | | | | | | | | | | || 报价单位： | | | | | | | | | | | | || 报价时间： | | | | | | | | | | | | || 下单方式：门店按实际需要不定时下单 | | | | | | | | | | | | || 付款方式：银行转账，甲方收到货确认无误后，乙方向甲方开具发票，甲方收到发票后30天内支付当批次货款。 | | | | | | | | | | | |	
