rank	score	max_rows	max_cols	address_like_rows	label	notice_title	keywords	sheets	samples	saved_path	notice_url	attachment_url
1	13	201	23	26	附件五 2026 收银设备统采标准.xlsx	2026年老百姓集团收银设备统采项目采购公告	区,市,电话,省,门店	集团行政部及其他业务部门，提供需要统采的信息设备清单[5x10;地址样式4]; 说明[19x7;地址样式3]; 1. 2《电脑设备采购项目》服务及售后[4x2;地址样式1]; 《收银设备采购项目》标准-2026[29x22;地址样式5]; 26年资料[1x1;地址样式0]; 投标品牌.供应商[12x10;地址样式3]; 2. 2《收银设备采购项目》服务及售后[2x3;地址样式1]; 2024年供应商联系清单[201x11;地址样式6]; 资料[1x1;地址样式1]; X. 电脑统采标准-X[190x23;地址样式7]; 24年门店收银设备统采型号调研[28x12;地址样式26]	统采设备 | | | | 25统采标准 | | | | | || 品类 | 序号 | 设备名称 | 适用场景 | 配置参数标准说明 | 预计总量 | 预估价格 | 计划应标：品牌/型号 | 特殊情况要求 | 保修要求说明 || 台式机主机 | 1.3 | 专业设计岗台式机主机（不含显示器） | 专业设计岗 | Intel 酷睿i7-13代 13700 或性能以上 内存：32G 硬盘：SSD512G+2T 鼠键：黑/白，PS/2 接口：HDMI输出/1网/6USB以上 显卡：独立4G显存 音频：集声+Aduio 电源：≥300W 操作系统：win10 64位 硬盘分区：CD区 保修：6年上门质保 | | | | 1、供货产品型号，配置变化，提供不低原电脑性能的电脑替换（CPU、内存、硬盘、屏幕、电池等） | 1.台式机电脑主机保修期6年含键鼠，6年上门保修，保修项目及政策，依据国家电子产品保修政策及厂家官方网站查询政策为准 2.在各地厂家官方指定售后，依据原厂官方保修政策进行保修 3.保修期限及服务内容官方网站可查询 4.提供服务承诺含需要包含以上内容 || 显示器 | 2.4 | 特大号型显示器 | 1.中高层管理办公室或工位桌面屏 | 屏幕尺寸：23.8 寸 分辨率： 1920*1080 接口：VGA+HDMI 保修期：3年上门质保 颜色：黑色 其他：商用显示器，低蓝光，莱茵认证，3年质保 | | | | 1、供货产品型号，配置变化，提供不低原显示器性能的设备替换 | 1.显示器保修期6年，6年上门保修，保修项目及政策，依据国家电子产品保修政策及厂家官方网站查询政策为准 2.在各地厂家官方指定售后，依据原厂官方保修政策进行保修 3.保修期限及服务内容官方网站可查询 4.提供服务承诺含需要包含以上内容 || 一体机电脑 | 4.1 | 总部办 | 1、集团总部客服服务中心办公 | CPU： i5-12代H系列或以上） 内存 ：16G或以上 硬盘： 512SSD或以上 屏幕：27寸 接口：集显/HDMI输出/10USB 配件：无线键鼠 显卡：集显 保修说明：原厂保修，以官方网站政策为准 | | | 联想:小新 27-1AP（业务要期望的型号） | 1、供货产品型号，配置变化，提供不低原电脑性能的电脑替换（CPU、内存、硬盘、屏幕、电池等） | 1.一体机电脑保修期3年含键鼠，保修项目及政策，依据国家电子产品保修政策及厂家官方网站查询政策为准 2.在各地厂家官方指定售后，依据保修政策进行保修 3.保修期限及服务内容官方网站可查询 4.提供服务承诺含需要包含以上内容	fast_output/candidate_attachments/附件五 2026 收银设备统采标准.xlsx	https://bidding.lbxdrugs.com/cggg/11166.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202603/19114531rmvo.xlsx
2	12	205	17	47	2026年门店统采报价单.xlsx	2026全年度老百姓大药房全国门店办公纸类&办公用品&硒鼓&低值易耗&日用品&小电器产品采购项目采购公告	区,电话,省,配送,门店	标段1[17x17;地址样式10]; 标段2[205x17;地址样式47]; 标段3[35x17;地址样式3]; 标段4[23x17;地址样式5]	报价单 | | | | | | | | | | | | | | | | || 项目名称：2026全年度 老百姓大药房全国门店办公纸类&办公用品&硒鼓&低值易耗&日用品&小电器产品采购项目 | | | | | | | | | | | | | | | | || 说明：请填写报价单标黄部分,标段1预算278万元 | | | | | | | | | | | | | | | | || 报价单位（章）： | | | | | | | | | | | | | | | | || 报价时间： | | | | | | | | | | | | | | | |	fast_output/candidate_attachments/2026年门店统采报价单.xlsx	https://bidding.lbxdrugs.com/cggg/11092.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202512/021419593yn5.xlsx
3	11	49	10	49	报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx	2026年4月老百姓集团流水式粉碎机48台采购项目采购公告	区,地址,市,省,配送,门店	报价单[28x10;地址样式2]; 送货地址[49x4;地址样式49]	报价单 | | | | | | | | | || 报价单位：（章） | | | | | | | | | || 报价时间： | | | | | | | | | || 请仔细阅读相关要求后，填写标黄内容 | | | | | | | | | || 项目名称： 2026年4月老百姓集团采购流水式粉碎机48台 | | | | | | | | |	fast_output/candidate_attachments/报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx	https://bidding.lbxdrugs.com/cggg/11177.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202604/02110520g6rr.xlsx
4	9	15	10	2	昆中药项目物料需求-报价单.xlsx	昆中药项目8家门店营销物料制作采购公告	地址,市,门店	订阅模式不含源代码[15x10;地址样式2]	项目名称 | 老百姓集团昆中药项目物料 | | | | | | | | || 公司名称 | | | | | | | | | || 日期 | | | | | | | | | || 法定代表人/授权代理人（签字） | | | | | | | | | || 填表须知： 1.物料由供应商安装、摆放至老百姓大药房的8家门店（具体门店地址暂未定，均在长沙市），安装、摆放完成时间为5月24日，活动预计持续至6月中旬，活动结束后，供应商需负责拆卸物料并运走； 2.物料供应商需出一名平面设计师和老百姓的设计师一起核对最终设计稿； 3.物料的数量可能有少量增减。 | | | | | | | | |	fast_output/candidate_attachments/昆中药项目物料需求-报价单.xlsx	https://bidding.lbxdrugs.com/cggg/10973.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202505/13103239m8k4.xlsx
5	9	15	10	2	昆中药项目物料需求-报价单.xlsx	昆中药项目8家门店营销物料制作采购公告	地址,市,门店	订阅模式不含源代码[15x10;地址样式2]	项目名称 | 老百姓集团昆中药项目物料 | | | | | | | | || 公司名称 | | | | | | | | | || 日期 | | | | | | | | | || 法定代表人/授权代理人（签字） | | | | | | | | | || 填表须知： 1.物料由供应商安装、摆放至老百姓大药房的8家门店（具体门店地址暂未定，均在长沙市），安装、摆放完成时间为5月24日，活动预计持续至6月中旬，活动结束后，供应商需负责拆卸物料并运走； 2.物料供应商需出一名平面设计师和老百姓的设计师一起核对最终设计稿； 3.物料的数量可能有少量增减。 | | | | | | | | |	fast_output/candidate_attachments/昆中药项目物料需求-报价单_1.xlsx	https://bidding.lbxdrugs.com/cggg/10974.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202505/1311205612ik.xlsx
6	6	28	5	28	RDC及地址.xlsx	外卖配送-冷链包装箱/袋采购项目采购公告	区,地址,市,省,配送	Sheet1[28x5;地址样式28]	战区 | 公司 | DC属性 | 省份 | 收货地址 || 安徽战区 | 安徽丰沃达 | RDC | 安徽 | 安徽省合肥市经开区汤口路与玉兰大道交叉口宝元物流1#物流配送中心A栋 || 广西战区 | 广西 | DC | 广西 | 南宁市国凯大道15号广西思蜜缇休闲食品生产加工基地项目1号厂房第一、二、三、四层 || 新中战区 | 河南 | DC | 河南 | 河南省郑州市管城区南曹乡郑州传化公路港 K1，二楼 || | 湖北 | DC | 湖北 | 湖北省武汉市东西湖区惠安大道南768号中原印务1栋	fast_output/candidate_attachments/RDC及地址.xlsx	https://bidding.lbxdrugs.com/cggg/10984.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202506/051120104hei.xlsx
7	6	15	10	2	老百姓酒店用品报价单2025.11.26.xlsx	老百姓总部酒店枕芯被芯保护垫采购（枕芯130个，其余各10套）采购公告	区,地址,市,配送	Sheet0[15x10;地址样式2]	老百姓酒店用品报价单 | | | | | | | | | || 报价单位： | | | | | | | | | || 报价时间： | | | | | | | | | || 说明：中标单位需先行送样，样品合格后再配送全部产品。如样品不符合规格及配置要求，招标方有权退回样品，邮费由中标方自理。 | | | | | | | | | || 送货地址：长沙市开福区青竹湖路808号一楼酒店前台。 | | | | | | | | |	fast_output/candidate_attachments/老百姓酒店用品报价单2025.11.26.xlsx	https://bidding.lbxdrugs.com/cggg/11087.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202511/26165247wrgw.xlsx
8	5	38	14	6	报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx	老百姓大药房2026至2028两年度煎药机切片机打粉机采购项目采购公告	区,门店	老百姓大药房切片机、打粉机采购项目[33x13;地址样式5]; 老百姓大药房煎药机采购项目[38x14;地址样式6]	报价单 | | | | | | | | | | | | || 项目名称：老百姓大药房切片机、打粉机采购项目 | | | | | | | | | | | | || 报价单位： | | | | | | | | | | | | || 报价时间： | | | | | | | | | | | | || 下单方式：门店按实际需要不定时下单 | | | | | | | | | | | |	fast_output/candidate_attachments/报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx	https://bidding.lbxdrugs.com/cggg/11285.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202607/17155312nu13.xlsx
9	5				招标文件-2025-2027两年度老百姓大药房门店工装采购项目.pdf	2025-2027两年度老百姓大药房门店工装（工作服）采购项目采购公告					https://bidding.lbxdrugs.com/cggg/11088.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202511/29155605xi5k.pdf
10	5				招标文件-2026-2028 老百姓大药房全国门店中药包装袋及商品价格签采购项目.pdf	2026-2028两年度老百姓大药房全国门店中药包装袋及商品价格签采购项目采购公告					https://bidding.lbxdrugs.com/cggg/11157.jhtml	https://bidding.lbxdrugs.com/u/cms/www/202603/06175824l7v2.pdf
