source_file	source_sheet	source_row	row_json
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	9	"{""45956"": ""45956"", ""大班车（50-55座）"": ""大班车（50-55座）"", ""1"": """", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": ""老百姓大药房总部"", ""步步高广场 (市妇联公交站后方100米)"": ""步步高广场 (市妇联公交站后方100米)"", ""/"": ""/"", ""老百姓大药房总部"": ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"", ""2+24=26"": ""24+2=26"", ""接送员工上下班上班时间早上9点，下班时间下午18点"": """", ""列13"": """", ""列14"": """"}"
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	10	"{""45956"": ""45956"", ""大班车（50-55座）"": ""大班车（50-55座）"", ""1"": ""1"", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": ""恒大雅苑 (开元路出口)"", ""步步高广场 (市妇联公交站后方100米)"": ""湘绣城足球场对面"", ""/"": ""/"", ""老百姓大药房总部"": ""老百姓大药房总部"", ""2+24=26"": ""3+1.5+2.5+14=21"", ""接送员工上下班上班时间早上9点，下班时间下午18点"": ""接送员工上下班上班时间早上9点，下班时间下午18点"", ""列13"": """", ""列14"": """"}"
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	11	"{""45956"": ""45956"", ""大班车（50-55座）"": ""大班车（50-55座）"", ""1"": """", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": ""老百姓大药房总部"", ""步步高广场 (市妇联公交站后方100米)"": ""湖南工程职业技术学院"", ""/"": ""/"", ""老百姓大药房总部"": ""恒大雅苑 (开元路出口)"", ""2+24=26"": ""14+2.5+1.5+3=21"", ""接送员工上下班上班时间早上9点，下班时间下午18点"": """", ""列13"": """", ""列14"": """"}"
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	12	"{""45956"": ""45957"", ""大班车（50-55座）"": ""大班车（50-55座）"", ""1"": ""1"", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": ""长沙北城戴斯温德姆酒店"", ""步步高广场 (市妇联公交站后方100米)"": ""老百姓大药房总部"", ""/"": ""老百姓大药房总部"", ""老百姓大药房总部"": ""长沙北城戴斯温德姆酒店"", ""2+24=26"": ""2+2+36+3+34+2=79"", ""接送员工上下班上班时间早上9点，下班时间下午18点"": """", ""列13"": """", ""列14"": """"}"
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	13	"{""45956"": ""45957"", ""大班车（50-55座）"": ""大班车（50-55座）"", ""1"": ""1"", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": ""维也纳国际酒店(长沙湘江北路金霞地铁站店)"", ""步步高广场 (市妇联公交站后方100米)"": ""老百姓大药房总部"", ""/"": ""老百姓大药房总部"", ""老百姓大药房总部"": ""维也纳国际酒店(长沙湘江北路金霞地铁站店)"", ""2+24=26"": ""8+8+30+3+34+8=91"", ""接送员工上下班上班时间早上9点，下班时间下午18点"": """", ""列13"": """", ""列14"": """"}"
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	14	"{""45956"": ""45958"", ""大班车（50-55座）"": ""大班车（50-55座）"", ""1"": ""1"", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": ""老百姓大药房总部"", ""步步高广场 (市妇联公交站后方100米)"": ""/"", ""/"": ""/"", ""老百姓大药房总部"": ""黄花机场T1"", ""2+24=26"": ""39"", ""接送员工上下班上班时间早上9点，下班时间下午18点"": """", ""列13"": """", ""列14"": """"}"
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	15	"{""45956"": ""45958"", ""大班车（50-55座）"": ""大班车（50-55座）"", ""1"": ""1"", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": ""老百姓大药房总部"", ""步步高广场 (市妇联公交站后方100米)"": ""/"", ""/"": ""/"", ""老百姓大药房总部"": ""长沙南站"", ""2+24=26"": ""30"", ""接送员工上下班上班时间早上9点，下班时间下午18点"": """", ""列13"": """", ""列14"": """"}"
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	16	"{""45956"": ""45958"", ""大班车（50-55座）"": ""别克商务车（7座）"", ""1"": ""1"", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": ""老百姓大药房总部"", ""步步高广场 (市妇联公交站后方100米)"": ""/"", ""/"": ""/"", ""老百姓大药房总部"": ""黄花机场T1"", ""2+24=26"": ""39"", ""接送员工上下班上班时间早上9点，下班时间下午18点"": """", ""列13"": """", ""列14"": """"}"
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	17	"{""45956"": ""45958"", ""大班车（50-55座）"": ""别克商务车（7座）"", ""1"": ""1"", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": ""老百姓大药房总部"", ""步步高广场 (市妇联公交站后方100米)"": ""/"", ""/"": ""/"", ""老百姓大药房总部"": ""长沙南站"", ""2+24=26"": ""30"", ""接送员工上下班上班时间早上9点，下班时间下午18点"": """", ""列13"": """", ""列14"": """"}"
2025年10月25日至28日租车 报价单 及大致行程安排20251013.xlsx	请填写预估总费用 大致行程安排	18	"{""45956"": ""预估总费用（元）实际结算按最终发生公里数、天数结算"", ""大班车（50-55座）"": """", ""1"": """", ""麓山名园公交站 (金星路往北方向-麓山名园公交站后方200米)"": """", ""步步高广场 (市妇联公交站后方100米)"": """", ""/"": """", ""老百姓大药房总部"": """", ""2+24=26"": """", ""接送员工上下班上班时间早上9点，下班时间下午18点"": """", ""列13"": """", ""列14"": """"}"
