status	url	final_url	title	content_type	length	scripts	links	contexts	preview
200	https://www.lbxdrugs.com/	https://www.lbxdrugs.com/	老百姓大药房连锁股份有限公司-中国药品零售行业企业	text/html; charset=UTF-8	321033	https://www.lbxdrugs.com/npublic/commonjs/common.min.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/npublic/libs/core/ceccjquery.min.js,require.min.js,lib.min.js,page.min.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/29197b8a19d943e58f656cc39f690555.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/4679ed860a374cfc8a4fbe52627b2114.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/690dc2db517d44f6b5fea47d82505278.js?241015?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/83b23a730dbe41ac8c80dbc3d1c0cde3.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/99292ea219f04fcfbc43991c3dc079e5.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper	http://www.beian.gov.cn/portal/registerSystemInfo?recordcode=43010502000760 | https://beian.miit.gov.cn | https://changsha.300.cn/ | https://doc.weixin.qq.com/forms/ADoACwfgAAsAZcAmAbYADkCNa3ISlIHqf?page=1 | https://mp.weixin.qq.com/s/FTBNEcZ1ziFKjxqM6y3cuA?color_scheme=light | https://mp.weixin.qq.com/s/TvRATpxARj4mqtMRNzBL6w | https://mp.weixin.qq.com/s/XuLr74AxuHtnBmWdA22aOg?mpshare=1&scene=1&srcid=07017cwKe8CbodiAeTIBzJUm&sharer_shareinfo=93e921d48285859814060cd8b242762f&sharer_shareinfo_first=93e921d48285859814060cd8b242762f&color_scheme=light#rd | https://mp.weixin.qq.com/s/fDTzFHUpSYJDREfxW0LyTQ?mpshare=1&scene=1&srcid=0701HmAE21kjGMus11XoY7wc&sharer_shareinfo=c9d47e759ff051fbc2516f24d8c8db78&sharer_shareinfo_first=c9d47e759ff051fbc2516f24d8c8db78&color_scheme=light#rd | https://mp.weixin.qq.com/s/yTi0J3T95RFA8tgfl7GmWA?color_scheme=light | https://scep.lbxcn.com/portals/home | https://wecruit.hotjob.cn/SU62760948bef57c796a8ee466/pb/index.html | https://www.300.cn/ | https://www.lbxdrugs.com/ | https://www.lbxdrugs.com/about.html | https://www.lbxdrugs.com/about.html#c_static_001-1729566190025 | https://www.lbxdrugs.com/esg.html | https://www.lbxdrugs.com/gpxx.html | https://www.lbxdrugs.com/gsgg/1848658229176098816.html | https://www.lbxdrugs.com/gszl.html | https://www.lbxdrugs.com/hyzz.html | https://www.lbxdrugs.com/introduce_1/7.html | https://www.lbxdrugs.com/introduce_1/8.html | https://www.lbxdrugs.com/introduce_1/9.html | https://www.lbxdrugs.com/jzys.html | https://www.lbxdrugs.com/lxwm.html | https://www.lbxdrugs.com/news/3/ | https://www.lbxdrugs.com/news/872.html | https://www.lbxdrugs.com/news_lists_1/2.html | https://www.lbxdrugs.com/qxzgs.html | https://www.lbxdrugs.com/qywh.html | https://www.lbxdrugs.com/qyxx.html | https://www.lbxdrugs.com/rcll.html | https://www.lbxdrugs.com/rcpy.html | https://www.lbxdrugs.com/tglx.html | https://www.lbxdrugs.com/ygfc.html | javascript:; | tel:0731-84029732 | tel:400-6252-866	老百姓大药房连锁股份有限公司-中国药品零售行业企业 首页 走进老百姓 走进老百姓 企业概况 旗下子公司 竞争优势 企业形象 企业文化 走进老百姓 新闻资讯 新闻资讯 新闻中心 大事记 招标中心 新闻资讯 会员服务 加盟合作 加盟合作 加盟优势 管理模式 加盟流程 加盟申请 加盟合作 投资者关系 投资者关系 股票信息 公司治理 公司公告 投关联系 投资者关系 ESG ES || 加盟合作 加盟合作 加盟优势 管理模式 加盟流程 加盟申请 加盟合作 投资者关系 投资者关系 股票信息 公司治理 公司公告 投关联系 投资者关系 ESG ESG ESG（社会责任）报告 责任故事 ESG 人力资本 人力资本 人才理念 人才培养 人才引进 员工关怀 人力资本 联系我们 scroll down 新闻资讯 了解更多+ 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 老百姓大药房董事长、总裁谢子龙：破局不在会 || 关系 投资者关系 股票信息 公司治理 公司公告 投关联系 投资者关系 ESG ESG ESG（社会责任）报告 责任故事 ESG 人力资本 人力资本 人才理念 人才培养 人才引进 员工关怀 人力资本 联系我们 scroll down 新闻资讯 了解更多+ 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 老百姓大药房董事长、总裁谢子龙：破局不在会议室，而在收银台 2026年07月17日 老百姓大药房董事长、总裁谢子龙带队 || 任）报告 责任故事 ESG 人力资本 人力资本 人才理念 人才培养 人才引进 员工关怀 人力资本 联系我们 scroll down 新闻资讯 了解更多+ 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 老百姓大药房董事长、总裁谢子龙：破局不在会议室，而在收银台 2026年07月17日 老百姓大药房董事长、总裁谢子龙带队行商广西一线：锚定精细运营、弘扬利他文化 2026年07月01日 聚焦慢病管理，守护健康中国 | 老 || 员工关怀 人力资本 联系我们 scroll down 新闻资讯 了解更多+ 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 老百姓大药房董事长、总裁谢子龙：破局不在会议室，而在收银台 2026年07月17日 老百姓大药房董事长、总裁谢子龙带队行商广西一线：锚定精细运营、弘扬利他文化 2026年07月01日 聚焦慢病管理，守护健康中国 | 老百姓第7届慢病专业技能大赛全新启幕！ 2026年06月29日 扫码购药 服务 || 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 长沙市副市长康镇麟调研老百姓大药房药品安全工作 2026年08月16日 心系老百姓 健康同路行| 老百姓大药房与东阿阿胶2026年度战略对接会圆满举行 2026年08月04日 老百姓大药房董事长、总裁谢子龙：破局不在会议室，而在收银台 2026年07月17日 老百姓大药房董事长、总裁谢子龙带队行商广西一线：锚定精细运营、弘扬利他文化 2026年07月01日 聚焦慢病管理，守护健康中国 | 老百姓第7届慢病专业技能大赛全新启幕！ 2026年06月29日 扫码购药 服务微信号 首页 走进老百姓 企业概况 旗下子公司 	"<!DOCTYPE html> <html lang=""zh""><head> <title>老百姓大药房连锁股份有限公司-中国药品零售行业企业</title> <meta name=""description"" content=""老百姓大药房（上海证券交易所主板上市公司，股票代码603883）是中国药品零售行业企业，中国药品零售企业综合竞争力百强、中国服务业500强企业、湖南省百强企业。""/> <meta name=""keywords"" content=""老百姓大药房加盟,药房加盟,大药房加盟""/> <meta property=""og:title"" content=""老百姓大药房连锁股份有限公司""/> <meta property=""og:description"" content=""老百姓大药房连锁股份有限公司 老百姓大药房（上海证券交易所主板上市公司，股票代码603883）是中国药品零售行业企业，中国药品零售企业综合竞争力百强、中国服务业500强企业、湖南省百强企业。""/> <meta property=""og:site_name"" content=""老百姓大药房连锁股份有限公司""/> <meta property=""og:url"" content=""https://www.lbxdrugs.com/""/> <meta property=""og:image"" content=""https://omo-oss-image1.thefastimg.com/portal-saas/pg2024101217574431839/cms/image/ca66497a-8c5f-48ec-8a62-6d60f3c066e3.png?vf=B7gH3s""/> <meta name=""twitter:title"" content=""老百姓大药房连锁股份有限公司""/> <meta name=""twitter:description"" content=""老百姓大药房连锁股份有限公司 老百姓大药房（上海证券交易所主板上市公司，股票代码603883）是中国药品零售行业企业，中国药品零售企业综合竞争力百强、中国服务业500强企业、湖南省百强企业。""/> <meta property=""twitter:image"" content=""https://omo-oss-image1.thefastimg.com/portal-saas/pg2024101217574431839/cms/image/ca66497a-8c5f-48ec-8a62-6d60f3c066e3.png?vf=B7gH3s""/> <meta name=""twitter:card"" content=""summary_large_image""/> <link rel=""canonical"" href=""https://www.lbxdrugs.com/""> <meta http-equiv=""x-dns-prefetch-control"" content=""on"" /> <link rel=""dns-prefetch"" href=""//omo-oss-image.thefastimg.com""/> <link rel=""dns-prefetch"" href=""//dcloud-static01.faststatics.com""/> <link rel=""shortcut icon "" type=""images"
200	https://www.lbxdrugs.com/about.html	https://www.lbxdrugs.com/about.html	我们是谁	text/html; charset=UTF-8	325911	https://www.lbxdrugs.com/npublic/commonjs/common.min.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/npublic/libs/core/ceccjquery.min.js,require.min.js,lib.min.js,page.min.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/4679ed860a374cfc8a4fbe52627b2114.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/690dc2db517d44f6b5fea47d82505278.js?241015?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/83b23a730dbe41ac8c80dbc3d1c0cde3.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/e76b0b73e3cb4d96a1d303af58d5d83c.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper | https://www.lbxdrugs.com/upload/js/ec867d9ef50c41cdbf57b9341c9e9dc4.js?instance=new2024101217574411818&viewType=p&v=1779861322000&siteType=oper	http://www.beian.gov.cn/portal/registerSystemInfo?recordcode=43010502000760 | https://beian.miit.gov.cn | https://changsha.300.cn/ | https://doc.weixin.qq.com/forms/ADoACwfgAAsAZcAmAbYADkCNa3ISlIHqf?page=1 | https://scep.lbxcn.com/portals/home | https://wecruit.hotjob.cn/SU62760948bef57c796a8ee466/pb/index.html | https://www.300.cn/ | https://www.lbxdrugs.com/ | https://www.lbxdrugs.com/about.html | https://www.lbxdrugs.com/about.html#c_static_001-1729566190025 | https://www.lbxdrugs.com/esg.html | https://www.lbxdrugs.com/gpxx.html | https://www.lbxdrugs.com/gsgg/1848658229176098816.html | https://www.lbxdrugs.com/gszl.html | https://www.lbxdrugs.com/hyzz.html | https://www.lbxdrugs.com/introduce_1/7.html | https://www.lbxdrugs.com/introduce_1/8.html | https://www.lbxdrugs.com/introduce_1/9.html | https://www.lbxdrugs.com/jzys.html | https://www.lbxdrugs.com/lxwm.html | https://www.lbxdrugs.com/news/3/ | https://www.lbxdrugs.com/news/872.html | https://www.lbxdrugs.com/news_lists_1/2.html | https://www.lbxdrugs.com/qxzgs.html | https://www.lbxdrugs.com/qywh.html | https://www.lbxdrugs.com/qyxx.html | https://www.lbxdrugs.com/rcll.html | https://www.lbxdrugs.com/rcpy.html | https://www.lbxdrugs.com/tglx.html | https://www.lbxdrugs.com/ygfc.html | javascript:; | tel:0731-84029732 | tel:400-6252-866	ion for 25 years drives us become the industry leader 老百姓大药房（上海证券交易所主板上市公司，股票代码603883）是中国药品零售行业头部企业，中国药品零售企业综合竞争力百强冠军、中国服务业500强企业、湖南省百强企业。 自2001年创立以来，公司已成功开发了湖南、江苏、安徽、甘肃等18个省级市场，拥有门店15000多家、员工近4万余人（含加盟），2025年营业收入222.37亿元、总资产198.45亿元、纳税8.95亿元。 老百姓大药房深耕健康产业二十余年，始终保持战略定力，坚守“一切为了老百姓”的初心，致力为老百姓提供专业温暖的健康管理服务。近年来，公司不断突破创新，持续深化数智化转型，驱动业务高速发展；精准赋能中小连锁及单体药房，积极构建医药零售“大生态 || 健康服务平台。公司旗下现拥有老百姓健康药房（加盟）、药简单（联盟）、名裕龙行（批发）、百杏堂名医馆、丰沃达物流等子公司，形成了完整的医药产业生态圈。 在企业快速发展的同时，老百姓大药房积极投身公益事业，以点滴行动传递社会大爱与温暖。迄今为止，公司在救灾抗疫、扶贫助学、乡村振兴等社会公益方面携手合作伙伴累计捐资捐物价值超1亿元。公司倡导“利他”文化，在全国万家门店建设“健康驿站”，守护社区居民家庭健康。公司先后被授予“为全面建成小康社会作贡献先进集体”国家级殊荣、Superbrands中国人最喜爱的品牌、十二次荣获中国药品零售企业综合竞争力百强榜冠军等多项荣誉。 致力健康事业，成就百年老店。面向未来，老百姓大药房将深耕健康产业，坚定打造科技驱动的健康服务平台，以更专业、更智能、更利他的服务为银发经济下的老百姓提供更对 || 、十二次荣获中国药品零售企业综合竞争力百强榜冠军等多项荣誉。 致力健康事业，成就百年老店。面向未来，老百姓大药房将深耕健康产业，坚定打造科技驱动的健康服务平台，以更专业、更智能、更利他的服务为银发经济下的老百姓提供更对的健康生活方式，助力“健康中国”建设。 数字说话 总资产 198.45亿元 年营业收入 223.37亿元 员工人数（含加盟） 近60,000 门店总数 15,001 会员数量 1.1亿 经营品规 22,800+ 覆盖省份 18 覆盖城市 (地级市) 150+ 子公司数 43 注： 数据来源2025年报&2026一季报及公司经营现状 市场版图 18个省级市场：湖南、江苏、安徽、甘肃、陕西、广西、内蒙古、天津、湖北、浙江、山西、河南、山东、上海、宁夏、贵州、广东、江西 物流信息圈 专业物流圈辐射全国 1 || 平方米; 2、配送时效省内24小时、全国48小时; 3、长沙物流中心连续多年被中国仓储与配送协会评定为“五星级仓库”； 4、集办公、展示、会议于一体的智能化产业园区，科技、生态、节能、集约; 5、长沙物流枢纽占地面积170余亩，物流中心建筑面积11.7万余平方米，仓库容量80+万箱，日处理订单20万余行，年吞吐量2000万余箱，能支持湖南省及周边8000余家门店配送业务及老百姓集团500亿销售规模; 6、引进WMS、WCS、TMS等国际知名物流软件技术和 AS/RS、DPS、AGV等设备，实现从自动化物流到智慧化物流的转变。 成长的足迹 2024年 公司门店数突破15000家。 进一步深耕“利他”文化，以数智AI驱动全价值链转型升级。 2022年6月 公司门店数突破10000家，率先迈入“万店时代”。 2022年3 || 物流枢纽占地面积170余亩，物流中心建筑面积11.7万余平方米，仓库容量80+万箱，日处理订单20万余行，年吞吐量2000万余箱，能支持湖南省及周边8000余家门店配送业务及老百姓集团500亿销售规模; 6、引进WMS、WCS、TMS等国际知名物流软件技术和 AS/RS、DPS、AGV等设备，实现从自动化物流到智慧化物流的转变。 成长的足迹 2024年 公司门店数突破15000家。 进一步深耕“利他”文化，以数智AI驱动全价值链转型升级。 2022年6月 公司门店数突破10000家，率先迈入“万店时代”。 2022年3月 公司最大战略收购落地，累计以18亿元控股收购怀仁药房80%股权，怀仁药房近900家优质门店纳入老百姓旗下，公司成为湖南地区门店数与销售额第一的连锁药房。 2022年1月 公司历史最大规模股权融资落 || ，年吞吐量2000万余箱，能支持湖南省及周边8000余家门店配送业务及老百姓集团500亿销售规模; 6、引进WMS、WCS、TMS等国际知名物流软件技术和 AS/RS、DPS、AGV等设备，实现从自动化物流到智慧化物流的转变。 成长的足迹 2024年 公司门店数突破15000家。 进一步深耕“利他”文化，以数智AI驱动全价值链转型升级。 2	"<!DOCTYPE html> <html lang=""zh""><head> <title>走进老百姓-老百姓大药房连锁股份有限公司</title> <meta name=""description"" content=""老百姓大药房连锁股份有限公司 走进老百姓 老百姓大药房（上海证券交易所主板上市公司，股票代码603883）是中国药品零售行业企业，中国药品零售企业综合竞争力百强、中国服务业500强企业、湖南省百强企业。""/> <meta name=""keywords"" content=""其它,老百姓大药房加盟,药房加盟,大药房加盟,走进老百姓""/> <meta property=""og:title"" content=""走进老百姓-老百姓大药房连锁股份有限公司""/> <meta property=""og:description"" content=""老百姓大药房连锁股份有限公司 走进老百姓 老百姓大药房（上海证券交易所主板上市公司，股票代码603883）是中国药品零售行业企业，中国药品零售企业综合竞争力百强、中国服务业500强企业、湖南省百强企业。""/> <meta property=""og:site_name"" content=""老百姓大药房连锁股份有限公司""/> <meta property=""og:url"" content=""https://www.lbxdrugs.com/about.html""/> <meta property=""og:image"" content=""https://omo-oss-image1.thefastimg.com/portal-saas/pg2024101217574431839/cms/image/ca66497a-8c5f-48ec-8a62-6d60f3c066e3.png?vf=B7gH3s""/> <meta name=""twitter:title"" content=""走进老百姓-老百姓大药房连锁股份有限公司""/> <meta name=""twitter:description"" content=""老百姓大药房连锁股份有限公司 走进老百姓 老百姓大药房（上海证券交易所主板上市公司，股票代码603883）是中国药品零售行业企业，中国药品零售企业综合竞争力百强、中国服务业500强企业、湖南省百强企业。""/> <meta property=""twitter:image"" content=""https://omo-oss-image1.thefastimg.com/portal-saas/pg2024101217574431839/cms/image/ca66497a-8c5f-48ec-8a62-6d60f3c066e3.png?vf=B7gH3s""/> <meta name=""twitter:card"" content=""summary_large_image""/> <link rel=""canonical"" href=""https://www.lbxdrugs.com/about.html""> <meta http-equiv=""x-dns-prefetch-control"" content=""on"" /> <link rel=""dns-prefetch"" href=""//omo-oss-image.thefastimg.com""/> <link rel=""dns-prefetch"" href=""//dcloud-st"
200	https://scep.lbxcn.com/	https://scep.lbxcn.com/	èç¾å§å¤§è¯æ¿SCEPç³»ç»	text/html	3250	https://scep.lbxcn.com/js/app.0ab56e22.js | https://scep.lbxcn.com/js/chunk-vendors.0aaf15be.js | https://scep.lbxcn.com/js/constants.xy.js | https://scep.lbxcn.com/js/init.xy.js | https://scep.lbxcn.com/js/jquery.min.js | https://scep.lbxcn.com/js/layer.min.js | https://scep.lbxcn.com/js/navigate.xy.js | https://scep.lbxcn.com/js/popup.xy.js | https://scep.lbxcn.com/js/popupfromiframe.xy.js | https://scep.lbxcn.com/js/pub.xy.js			"<!doctype html><html lang=""zh-cmn-Hans""><head><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=edge""><meta http-equiv=""Expires"" content=""0""><meta http-equiv=""Pragma"" content=""no-cache""><meta http-equiv=""Cache-control"" content=""no-cache""><meta http-equiv=""Cache"" content=""no-cache""><meta name=""viewport"" content=""width=device-width,initial-scale=1""><link rel=""icon"" href=""/logo.png""><title>èç¾å§å¤§è¯æ¿SCEPç³»ç»</title><style>.first-loading-wrp { display: flex; justify-content: center; align-items: center; flex-direction: column; min-height: 420px; height: 100% } .first-loading-wrp>h1 { font-size: 128px } .first-loading-wrp .loading-wrp { padding: 98px; display: flex; justify-content: center; align-items: center } .dot { animation: antRotate 1.2s infinite linear; transform: rotate(45deg); position: relative; display: inline-block; font-size: 32px; width: 32px; height: 32px; box-sizing: border-box } .dot i { width: 14px; height: 14px; position: absolute; display: block; background-color: #1890ff; border-radius: 100%; transform: scale(.75); transform-origin: 50% 50%; opacity: .3; animation: antSpinMove 1s infinite linear alternate } .dot i:nth-child(1) { top: 0; left: 0 } .dot i:nth-child(2) { top: 0; right:"
404	https://mall.lbxcn.com/	https://mall.lbxcn.com/		application/json	110				"{""code"":404,""data"":null,""message"":""Failed to handle request [GET https://mall.lbxcn.com:443/]: 404 NOT_FOUND""}"
404	https://mall.lbxcn.com/mall/	https://mall.lbxcn.com/mall/		application/json	136				"{""timestamp"":""2026-09-07T09:46:06.523+00:00"",""path"":""/"",""status"":404,""error"":""Not Found"",""message"":null,""requestId"":""eaa7c9d7-78250228""}"
404	https://mall.lbxcn.com/mall/index.html	https://mall.lbxcn.com/mall/index.html		application/json	146				"{""timestamp"":""2026-09-07T09:46:06.745+00:00"",""path"":""/index.html"",""status"":404,""error"":""Not Found"",""message"":null,""requestId"":""85aa4b02-78247212""}"
404	https://jfsc.lbxcn.com/	https://jfsc.lbxcn.com/		text/plain; charset=utf-8	36				"{""error_msg"":""404 Route Not Found""}"
404	https://mall.lbxcn.com/swagger-ui.html	https://mall.lbxcn.com/swagger-ui.html		application/json	125				"{""code"":404,""data"":null,""message"":""Failed to handle request [GET https://mall.lbxcn.com:443/swagger-ui.html]: 404 NOT_FOUND""}"
404	https://mall.lbxcn.com/doc.html	https://mall.lbxcn.com/doc.html		application/json	118				"{""code"":404,""data"":null,""message"":""Failed to handle request [GET https://mall.lbxcn.com:443/doc.html]: 404 NOT_FOUND""}"
404	https://mall.lbxcn.com/swagger-resources	https://mall.lbxcn.com/swagger-resources		application/json	127				"{""code"":404,""data"":null,""message"":""Failed to handle request [GET https://mall.lbxcn.com:443/swagger-resources]: 404 NOT_FOUND""}"
