chunk	size	store	shop	门店	药房	address	longitude	latitude	orgCode	total
8034.bf79fa2f.js	132025	51	0	0	0	0	0	0	0	51
5479.e1ae9f4d.js	9773	43	0	4	0	0	0	0	0	47
5694.9f39836b.js	8719	15	0	3	0	0	0	0	0	18
3650.8cf4053e.js	30144	0	0	0	0	11	2	2	0	15
2137.0e8ece2d.js	37137	0	0	0	0	6	3	3	0	12
3084.6c28d9e2.js	179962	10	0	0	0	0	0	0	0	10
2449.8d1c22e9.js	157510	0	0	0	0	9	0	0	0	9
6588.10365f2a.js	13057	0	0	1	8	0	0	0	0	9
4677.1c0a8264.js	12436	0	0	0	0	2	3	3	0	8
1860.f7ff6ae1.js	10655	0	0	0	0	1	2	2	0	5
5058.ac751e85.js	24224	3	0	0	1	0	0	0	0	4
1567.45077bf8.js	1100	0	3	0	0	0	0	0	0	3
7963.6c8d8915.js	12010	0	3	0	0	0	0	0	0	3
9558.d45039c3.js	13734	0	0	0	0	1	1	1	0	3
1135.a7a1aacb.js	59112	1	0	0	1	0	0	0	0	2
3207.e6271f9f.js	5397	2	0	0	0	0	0	0	0	2
3708.b9bdc359.js	16750	2	0	0	0	0	0	0	0	2
5152.c76eb618.js	9160	2	0	0	0	0	0	0	0	2
5856.75662c49.js	2538	2	0	0	0	0	0	0	0	2
6420.40b23730.js	10054	2	0	0	0	0	0	0	0	2
7707.f0a34de3.js	22597	0	0	0	0	2	0	0	0	2
8544.1a73c85d.js	10760	2	0	0	0	0	0	0	0	2
1104.434b848d.js	10376	1	0	0	0	0	0	0	0	1
1321.9bb78911.js	3682	1	0	0	0	0	0	0	0	1
2662.f24484c1.js	10397	1	0	0	0	0	0	0	0	1
3566.8c35d5db.js	5425	0	0	1	0	0	0	0	0	1
3808.2dc4a0a3.js	9317	0	0	0	0	1	0	0	0	1
5455.56bc6e9b.js	2759	1	0	0	0	0	0	0	0	1
5505.555885af.js	4940	1	0	0	0	0	0	0	0	1
5748.3af045bf.js	1386	1	0	0	0	0	0	0	0	1
6642.45057532.js	6092	0	0	0	1	0	0	0	0	1
6647.db400e4f.js	28834	0	0	0	0	1	0	0	0	1
6652.6ea2be0b.js	7991	1	0	0	0	0	0	0	0	1
7940.650fd6a2.js	16447	1	0	0	0	0	0	0	0	1
8180.721b7a72.js	11047	0	0	0	0	1	0	0	0	1
8752.263baa0f.js	5712	0	1	0	0	0	0	0	0	1
8936.3b238c74.js	6230	1	0	0	0	0	0	0	0	1
8984.bde7ac1a.js	28672	0	0	0	0	1	0	0	0	1
9234.5560e9c6.js	1601	1	0	0	0	0	0	0	0	1
